                                     | Core 0    
  Instructions                       |     859664
  Cycles                             |    5634146
  IPC                                |       0.15
  Time (ns)                          |    2118100
  Idle time (ns)                     |        -53
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |     145912
  num incorrect                      |      15436
  misprediction rate                 |      9.57%
  mpki                               |      17.96
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     112042
    num misses                       |          1
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     358585
    num misses                       |      23370
    miss rate                        |      6.52%
    mpki                             |      27.19
  L2 TLB                             |           
    num accesses                     |      23371
    num misses                       |      17359
    miss rate                        |     74.28%
    mpki                             |      20.19
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     112042
    num cache misses                 |         63
    miss rate                        |      0.06%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |     358585
    num cache misses                 |      74767
    miss rate                        |     20.85%
    mpki                             |      86.97
  Cache L2                           |           
    num cache accesses               |      77038
    num cache misses                 |      68592
    miss rate                        |     89.04%
    mpki                             |      79.79
  Cache L3                           |           
    num cache accesses               |      70800
    num cache misses                 |      57300
    miss rate                        |     80.93%
    mpki                             |      66.65
DRAM summary                         |           
  num dram accesses                  |      57300
  average dram access latency (ns)   |      64.90
  average dram queueing delay        |      11.47
  average dram bandwidth utilization |     22.00%
Coherency Traffic                    |           
  num loads from dram                |      57294
  num loads from dram cache          |          0
  num loads from remote cache        |          0
