                                     | Core 0    
  Instructions                       |    1353045
  Cycles                             |    3721188
  IPC                                |       0.36
  Time (ns)                          |    1398943
  Idle time (ns)                     |      97561
  Idle time (%)                      |       7.0%
Branch predictor stats               |           
  num correct                        |     103006
  num incorrect                      |          8
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     212016
    num cache misses                 |         14
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     934053
    num cache misses                 |         10
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         24
  average dram access latency (ns)   |     134.56
  average dram queueing delay        |      81.13
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
